name,address,phone
Hospital 1,Address 1,9000000001
Hospital 2,Address 2,9000000002
Hospital 3,Address 3,9000000003
Hospital 4,Address 4,9000000004
Hospital 5,Address 5,9000000005
Hospital 6,Address 6,9000000006
Hospital 7,Address 7,9000000007
Hospital 8,Address 8,9000000008
Hospital 9,Address 9,9000000009
Hospital 10,Address 10,9000000010
Hospital 11,Address 11,9000000011
Hospital 12,Address 12,9000000012
Hospital 13,Address 13,9000000013
Hospital 14,Address 14,9000000014
Hospital 15,Address 15,9000000015
Hospital 16,Address 16,9000000016
Hospital 17,Address 17,9000000017
Hospital 18,Address 18,9000000018
Hospital 19,Address 19,9000000019
Hospital 20,Address 20,9000000020
Hospital 21,Address 21,9000000021
